global_bit,kind,control_bit,cell,local_bit,x,y,z,bit
392,cell,,3,10,0.02598342538445454,0.017361569781862568,0.15625,0
393,cell,,3,11,0.02598342538445454,0.017361569781862568,0.171875,0
394,cell,,3,12,0.02598342538445454,0.017361569781862568,0.1875,0
395,cell,,3,13,0.02598342538445454,0.017361569781862568,0.203125,0
396,cell,,3,14,0.02598342538445454,0.017361569781862568,0.21875,0
397,cell,,3,15,0.02598342538445454,0.017361569781862568,0.234375,0
398,cell,,3,16,0.02598342538445454,0.017361569781862568,0.25,0
399,cell,,3,17,0.02598342538445454,0.017361569781862568,0.265625,0
400,cell,,3,18,0.02598342538445454,0.017361569781862568,0.28125,0
401,cell,,3,19,0.02598342538445454,0.017361569781862568,0.296875,0
402,cell,,3,20,0.02598342538445454,0.017361569781862568,0.3125,0
403,cell,,3,21,0.02598342538445454,0.017361569781862568,0.328125,0
404,cell,,3,22,0.02598342538445454,0.017361569781862568,0.34375,0
405,cell,,3,23,0.02598342538445454,0.017361569781862568,0.359375,0
406,cell,,3,24,0.02598342538445454,0.017361569781862568,0.375,0
407,cell,,3,25,0.02598342538445454,0.017361569781862568,0.390625,0
408,cell,,3,26,0.02598342538445454,0.017361569781862568,0.40625,0
409,cell,,3,27,0.02598342538445454,0.017361569781862568,0.421875,0
410,cell,,3,28,0.02598342538445454,0.017361569781862568,0.4375,0
411,cell,,3,29,0.02598342538445454,0.017361569781862568,0.453125,0
412,cell,,3,30,0.02598342538445454,0.017361569781862568,0.46875,0
413,cell,,3,31,0.02598342538445454,0.017361569781862568,0.484375,0
414,cell,,3,32,0.02598342538445454,0.017361569781862568,0.5,1
415,cell,,3,33,0.02598342538445454,0.017361569781862568,0.515625,0
416,cell,,3,34,0.02598342538445454,0.017361569781862568,0.53125,0
417,cell,,3,35,0.02598342538445454,0.017361569781862568,0.546875,0
418,cell,,3,36,0.02598342538445454,0.017361569781862568,0.5625,1
419,cell,,3,37,0.02598342538445454,0.017361569781862568,0.578125,0
420,cell,,3,38,0.02598342538445454,0.017361569781862568,0.59375,0
421,cell,,3,39,0.02598342538445454,0.017361569781862568,0.609375,0
422,cell,,3,40,0.02598342538445454,0.017361569781862568,0.625,1
423,cell,,3,41,0.02598342538445454,0.017361569781862568,0.640625,0
424,cell,,3,42,0.02598342538445454,0.017361569781862568,0.65625,0
425,cell,,3,43,0.02598342538445454,0.017361569781862568,0.671875,0
426,cell,,3,44,0.02598342538445454,0.017361569781862568,0.6875,0
427,cell,,3,45,0.02598342538445454,0.017361569781862568,0.703125,0
428,cell,,3,46,0.02598342538445454,0.017361569781862568,0.71875,0
429,cell,,3,47,0.02598342538445454,0.017361569781862568,0.734375,0
430,cell,,3,48,0.02598342538445454,0.017361569781862568,0.75,0
431,cell,,3,49,0.02598342538445454,0.017361569781862568,0.765625,0
432,cell,,3,50,0.02598342538445454,0.017361569781862568,0.78125,0
433,cell,,3,51,0.02598342538445454,0.017361569781862568,0.796875,0
434,cell,,3,52,0.02598342538445454,0.017361569781862568,0.8125,0
435,cell,,3,53,0.02598342538445454,0.017361569781862568,0.828125,0
